32785: n#6418901;n#6420678;n#6418693;
47687: n#14632444;n#3079230;n#14677610;
47688: n#14641223;n#9645091;n#9673495;
47689: n#14628668;n#275424;n#14917635;
47690: n#14657228;n#3856465;n#1460457;
47691: n#14641397;n#4439305;n#6837679;
47693: n#14661274;n#2678738;n#7065932;
47694: n#14634232;n#14634477;n#15279104;
47695: n#14629998;n#2796995;n#13711855;
47696: n#14643118;n#3640988;n#6868986;
47697: n#14633957;n#5759017;a#3004852;
47698: n#14651212;n#7247925;a#3094520;
47699: n#14645882;n#14652954;n#14658109;
47700: n#14651479;n#8425303;n#1096454;
47701: n#14653596;n#4970916;n#6702139;
47702: n#14637176;n#8173515;n#5675601;
47703: n#14638041;n#15056372;n#14622893;
47704: n#14657566;v#1870275;n#13629482;
47705: n#14636647;n#1591697;n#2742753;
47706: n#14640222;n#9326662;n#7985948;
47707: n#14636988;n#14675012;n#3058726;
47708: n#14658546;n#4496614;n#14550987;
47709: n#14661482;r#47534;n#6932948;
47710: n#14644063;n#5538625;n#14653242;
47711: n#14639556;n#8633957;n#5057593;
47712: n#14656666;n#2006063;n#2004855;
47713: n#14659512;n#15103226;n#6833544;
47714: n#14652390;n#2433925;n#3907227;
47715: n#14647907;s#2203123;n#5269901;
47716: n#14642219;a#2852679;n#8143486;
47717: n#14649543;n#14719169;n#4392526;
47718: n#14645346;n#5014308;s#345189;
47719: n#14657818;n#7110457;n#4108268;
47720: n#14631502;a#2837489;n#9857007;
47721: n#14650556;n#9727747;n#8145277;
47722: n#14652104;n#10516527;r#348110;
47723: n#14637864;n#6964901;a#2958392;
47724: n#14651921;n#5593318;n#4043733;
47725: n#14627655;n#14731334;n#11423952;
47726: n#14658109;n#2403325;n#8681222;
47727: n#14651708;n#13711303;n#138221;
47728: n#14660443;a#812952;n#7357679;
47729: n#14646403;n#10367819;v#1480149;
47730: n#14649775;n#14932303;n#8214470;
47731: n#14628494;n#6281594;n#5521514;
47732: n#14636220;n#13645599;n#3149951;
47733: n#14631134;n#14622893;
47734: n#14633037;n#14155506;n#9741612;
47735: n#14636822;n#10126926;n#6831605;
47736: n#14637339;s#1171076;n#13657691;
47737: n#14645092;n#2377181;n#10020890;
47738: n#14647722;n#7268759;a#1588172;
47739: n#14643323;n#14660314;n#9719794;
47740: n#14653416;n#13646223;n#5502090;
47741: n#14636523;n#14653416;n#13713633;
47742: n#14654058;n#14631757;
47743: n#14631757;n#14631871;n#2892767;
47744: n#14639795;n#3497182;n#5556943;
47745: n#14644963;n#6133503;n#13628056;
47758: n#14627820;n#14672544;n#2700767;
47759: n#14629561;n#13681048;n#240938;
47760: n#13654674;n#14643793;s#2191336;
47768: n#2924116;n#2924713;n#2924554;
47779: n#8276720;n#4146050;n#5757536;
47780: n#8276720;n#4146050;n#4511002;
47781: n#8276720;n#4146050;n#8407330;
47782: n#8276720;n#4146050;n#8277805;
47784: v#2388403;v#2387486;v#829107;
47785: n#5006898;n#7999291;n#844254;
47786: n#844254;n#5006898;n#7487695;
47792: n#9848775;n#10193026;n#622584;
47805: n#1905661;a#2510273;s#2325816;
47807: n#6133203;n#8395682;n#14050559;
47812: n#9484465;a#2780355;a#1037540;
47820: n#6413020;n#243918;n#6407372;
47822: n#14641046;n#14611521;n#6831498;
47825: s#527188;n#4510706;s#287128;
47826: n#6725877;n#6736217;n#6726158;
47827: n#6725877;n#6736217;n#6726158;
47828: n#6725877;n#6736217;n#6726158;
47836: n#7691650;n#13896217;s#2045473;
47844: n#3030035;n#3030663;n#4103491;
47871: n#13619307;n#13620404;n#13621850;
47880: n#6974127;n#9714429;a#3075191;
47881: n#6974127;a#3075191;n#9714429;
47893: n#13783816;n#5149325;n#720565;
47904: n#1459791;n#1458842;n#11545714;
47913: n#13736799;n#15257829;s#524496;
47921: n#7549716;n#758335;v#1827619;
47954: r#12779;s#1048762;n#4572344;
47962: n#2183857;n#2251775;n#2185481;
47964: n#2159955;n#1384491;n#10792028;
47968: n#14925378;n#3595860;n#3387926;
47978: n#4266486;n#4266660;n#4208210;
47979: n#4266660;n#3935698;n#4373894;
47994: n#4451818;n#173761;v#1956708;
48073: n#3088164;n#15006258;n#4116512;
48079: n#4860065;n#4860272;n#4860369;
48088: n#8665504;n#8226514;n#8524735;
48090: n#4202417;n#4603081;n#2879309;
48097: n#6336904;n#6337693;n#6337307;
48099: n#6961771;n#9709001;n#5258051;
48101: n#4435180;n#15074568;n#3355339;
48104: n#2997391;a#3015441;n#935247;
48130: n#5819453;n#4802907;n#6724066;
48131: n#6724066;n#5819453;n#4802907;
48173: n#1415626;a#2859974;n#10364643;
48195: v#1309143;v#2119874;v#1250908;
48204: n#10689564;v#1666327;v#301544;
48209: n#10053808;n#9632518;n#9821831;
48238: n#11420831;n#5128219;n#5128096;
48255: n#3383948;n#3384167;n#5597436;
48257: n#3383948;n#3384167;n#13914265;
48272: s#431774;s#2413390;
48283: n#4081281;n#3697552;n#2935891;
48284: n#13932045;n#6370178;n#5769471;
48285: n#4405907;n#6277280;n#4404412;
48286: n#4405907;n#6277280;n#4404412;
48287: n#4405907;n#6277280;n#4404412;
48289: n#15055181;v#327145;n#15055633;
48292: n#6100236;n#98385;n#9825750;
48298: n#13279262;n#13294135;n#7295629;
48303: n#9539517;n#9715521;n#14681555;
48305: n#9539517;n#14681555;n#9715521;
48306: n#14821248;n#4171831;n#14653831;
48318: n#4079933;n#10210137;n#9762101;
48319: n#4079933;n#1169317;n#11503644;
48332: n#7228971;n#1208797;n#7229245;
48395: v#1796582;v#911761;n#7535670;
48452: n#5687338;n#6784003;n#14410605;
48453: n#5687338;n#14410605;n#6784003;
48454: n#5687338;n#6784003;n#14410605;
48455: n#5687338;n#6784003;n#14410605;
48456: n#5687338;n#6784003;n#14410605;
48457: n#6784003;n#5687338;n#14410605;
48458: n#5687338;n#6784003;n#14410605;
48459: n#5687338;n#6784003;n#14410605;
48460: n#5687338;n#6784003;n#14410605;
48474: s#431004;a#697389;
48475: s#924257;v#2521284;a#923993;
48499: n#4564698;n#4096066;n#3899328;
48500: n#172710;n#4928903;n#415676;
48529: n#6226057;n#8082236;n#8082602;
48607: a#1672607;n#13942743;n#10382380;
48608: a#1675190;s#1676026;s#968010;
48630: a#427786;a#1905377;a#1908039;
48636: n#7160424;n#7233634;n#7125096;
48664: n#9537660;n#9678009;n#10513623;
48669: n#10320612;n#5790758;n#9991867;
48692: n#547765;n#2879517;n#2879718;
48693: n#547765;n#2879517;n#2879718;
48724: n#9416076;n#14696793;n#10535366;
48747: a#967129;s#966753;s#608791;
48750: n#8438533;n#9284015;n#9359803;
48767: n#6843148;n#7469043;n#294452;
48794: n#7869391;n#3497182;v#1257399;
48803: n#7573696;n#15245990;n#21265;
48805: n#7575076;v#1185304;n#7575726;
48811: n#7575726;n#8253815;v#1166351;
48812: n#7575726;n#8253815;v#1166351;
48845: v#1431230;n#138221;v#1431723;
48846: n#138221;v#1431230;v#1431723;
48865: n#13776137;n#5124928;a#1495725;
48866: n#13776137;n#5124928;a#1495725;
48868: n#13763384;a#1496021;n#8600274;
48884: n#11876634;n#7715103;n#7714990;
48885: n#6947479;n#6947032;n#9738708;
48888: n#653518;n#360757;v#173338;
48892: n#7906111;n#7901587;n#9623038;
48897: n#4401088;v#789448;n#7111047;
48911: n#5556595;n#8524404;n#8521816;
48912: n#8649167;n#5852553;n#4213626;
48914: n#5852553;n#8649167;n#4213626;
48915: n#5852553;n#8649167;n#6256697;
48937: s#2378496;r#120095;a#2377651;
48938: r#120095;r#120223;r#116510;
48963: n#4194289;n#4530566;n#2858304;
48978: n#6687883;v#807059;n#5933246;
48984: n#6987812;a#2616997;n#9705671;
48996: n#15250178;n#15252422;n#15249799;
48997: n#15252422;n#15250178;n#15142167;
49045: n#15196186;n#15196537;n#15212167;
49046: a#1199751;s#2477885;a#744506;
49048: n#9751076;a#2963942;n#9751403;
49049: n#9751076;a#2963942;n#13367070;
49082: a#2963942;n#9751076;n#773814;
49084: n#7653982;n#7654886;n#14287113;
49085: v#1258091;v#1552519;v#1255967;
49112: n#7490713;n#5829782;n#7491038;
49139: n#2730930;n#2731123;n#8496334;
49155: n#5555688;n#4183663;n#2827606;
49194: n#2748618;n#2674482;n#568701;
49196: n#2083672;n#9982873;n#14408519;
49197: n#9982873;n#2083672;n#10485440;
49201: n#6613686;n#6262567;n#3338821;
49212: n#7999068;n#5764365;n#3581125;
49215: n#14889479;n#13063269;n#14277655;
49219: n#13883346;s#2043587;n#13873361;
49251: n#6012726;a#2854350;n#156812;
49254: n#13787723;n#9972010;n#13786960;
49255: n#13787379;n#5252970;n#7802026;
49262: n#6807501;n#13743269;n#13741022;
49269: n#14413411;n#204814;n#7254836;
49270: n#7693725;n#7695742;n#13875392;
49272: n#3888257;v#1968275;n#7185668;
49274: n#6133503;n#14656666;n#14644963;
49293: n#3509025;n#4628192;n#5016171;
49322: a#898963;n#5685538;s#1706465;
49324: n#14686913;n#14774699;n#14685881;
49352: n#11509570;n#2928608;n#11507951;
49360: n#11509570;n#8459087;n#11519121;
49368: n#8267640;n#5582191;n#5582305;
49369: n#8267640;n#5582305;n#5582191;
49393: n#9584079;n#9833111;n#6939656;
49398: n#2831335;n#6961771;n#462804;
49399: n#5307091;v#1972298;n#9504915;
49403: n#8173165;a#3004196;n#8703035;
49415: n#14592610;n#3958097;s#844461;
49424: n#7104574;a#3137397;n#8489627;
49493: n#2407521;n#8887344;
49505: n#8366753;n#5644727;n#4893787;
49507: n#10609325;n#10609556;n#9676884;
49510: n#8304895;n#14418395;n#381680;
49512: n#8304895;n#381680;n#7373277;
49513: n#847340;n#8304895;n#13963970;
49520: n#6070929;n#14513062;a#2906478;
49522: s#1137378;s#1136541;n#8646306;
49536: n#403092;n#7420770;n#744131;
49603: n#1085098;n#787465;n#13285176;
49606: v#2295550;v#2467662;v#1458973;
49607: n#9707166;a#2962818;n#6946355;
49608: n#6946355;a#2962818;n#9707166;
49609: a#2962818;n#6946355;n#9707166;
49611: s#1969150;r#81737;n#6426468;
49614: n#3745146;n#8456888;a#2891444;
49616: s#210848;s#1698610;v#126143;
49656: n#2098413;n#14702703;v#2208903;
49673: n#14946939;n#12353431;n#4181561;
49703: n#13813591;n#13929477;n#10235549;
49715: n#3868406;a#3095588;a#3095813;
49725: n#10355449;n#10363913;n#9981834;
49727: n#11454591;n#329819;n#13775706;
49736: v#2494356;v#2495817;n#13998576;
49745: n#8085535;n#10154186;n#4058239;
49751: n#6964600;a#3025403;n#2533075;
49767: n#8154960;a#3071838;n#10159852;
49773: n#7927931;n#12197211;n#12197359;
49776: n#7308563;n#377364;n#7116443;
49789: n#1895735;n#5238282;n#14759722;
49863: n#4982207;n#13925550;n#4651974;
49872: n#5034473;n#5034989;
49876: n#9717454;a#2970820;n#10609325;
49884: n#3516844;n#4116294;n#2735538;
49920: s#2204716;n#13848884;n#13748128;
49975: n#9781921;n#10072054;n#5778749;
49978: n#7330007;n#14473222;n#9504915;
49979: s#2194255;r#61677;s#2194351;
49983: n#5626929;n#12821895;
49986: v#683280;v#684273;v#721098;
49987: n#7732636;n#12145477;n#12143676;
49989: n#7695965;n#7697825;v#1529906;
49996: n#8226699;n#8672738;n#8665504;
50010: n#7742704;n#13137409;n#13137951;
50013: n#10725280;n#10212501;n#6581268;
50016: n#5835747;n#5836598;n#6390962;
50020: r#104345;r#104661;r#26571;
50021: n#15075141;n#15075298;n#15074962;
50030: n#9767700;n#9765278;n#9767197;
50034: n#9882615;n#10352208;n#9882007;
50037: n#11509066;n#1538630;n#11509377;
50039: n#3320046;n#10077593;v#1409763;
50040: n#3320046;n#10077593;n#10639925;
50041: n#3320046;n#10077593;n#10639925;
50048: n#10212501;n#6575932;n#10212780;
50058: n#10598749;n#4131929;n#10136615;
50062: n#10136615;n#10221956;n#10221777;
50069: n#14881303;n#3438257;n#3438661;
50072: s#1513512;s#1158974;a#1824244;
50092: n#9691858;a#3046184;
50096: n#10115082;n#10114897;s#1443097;
50106: n#7614500;n#14915184;n#7614198;
50108: n#6944480;a#2660940;n#9695979;
50109: n#6944480;a#2660940;n#9695979;
50110: n#6944480;a#2660940;n#9695979;
50126: n#9699642;n#6954048;a#2960338;
50131: n#9729156;a#3067957;n#6978766;
50132: n#6978766;a#3067957;n#9729156;
50134: n#6978766;a#3067957;n#9729156;
50142: n#9217230;v#1978947;n#9428293;
50219: n#9736035;n#6927128;a#3078445;
50220: n#6927128;n#9736035;n#8483265;
50221: n#6927128;n#9736035;a#3078445;
50222: a#2972925;n#9715833;n#9681351;
50223: a#2972925;n#9715833;n#9681351;
50233: a#2968828;n#9696280;n#11774279;
50234: a#2968828;n#9696280;n#6937348;
50247: n#6927363;n#9736798;a#2963810;
50249: n#6927363;n#9736798;a#2963810;
50255: n#7676273;a#1123148;n#6692834;
50321: n#9714694;a#3075470;n#12124627;
50326: n#9644152;a#3087088;n#6928839;
50327: n#6928839;a#3087088;n#9644152;
50329: n#9374886;n#13136863;n#5434927;
50386: n#9868270;n#6066555;n#2733075;
50388: n#10091651;n#432587;n#10659042;
50391: n#467995;n#463543;n#3333252;
50400: n#8484810;n#6974390;n#9734006;
50401: n#6974390;n#8484810;n#9734006;
50402: n#6974390;n#8484810;n#9734006;
50430: n#6972985;n#9724066;a#2971839;
50431: n#9724066;n#6972985;a#2971839;
50432: n#9724066;n#6972985;a#2971839;
50446: n#9719794;n#6935594;a#3079803;
50447: n#9719794;n#6935594;a#3079803;
50448: n#9719794;n#6935594;a#3079803;
50449: n#6980721;n#9675529;n#6947032;
50452: v#747135;v#1135783;v#235368;
50531: n#7697100;n#7664007;n#7664121;
50534: n#3815615;v#1285440;v#2538086;
50536: v#1285440;v#2538086;v#1354673;
50570: n#13724582;n#13724838;n#5403849;
50575: n#13726074;n#15212167;n#6832140;
50576: n#13624190;n#295172;n#2884225;
50578: n#15279104;n#3507048;v#1055661;
50580: n#9719794;a#3079627;n#6935594;
50581: n#9719794;a#3079627;n#6935594;
50582: n#9719794;a#3079627;n#6935594;
50597: n#8483265;a#2655560;n#9735542;
50598: n#8483265;a#2655560;n#6927007;
50599: n#9695747;a#3052018;n#6932435;
50600: a#3052018;n#6932435;n#9695747;
50673: n#13594585;n#5737153;n#6815714;
50676: v#1111816;n#5737153;n#13594585;
50694: n#6991004;a#3119182;n#9749880;
50695: n#9749880;n#6991004;a#3119182;
50696: n#6991004;a#3119182;n#9749880;
50706: n#13644522;n#8302724;n#6833544;
50708: n#6995792;n#6993647;n#13833886;
50709: n#13984944;n#5155349;n#13984613;
50715: n#965404;n#5035353;n#4990220;
50728: n#9632518;n#2207449;n#10241300;
50731: n#11450566;n#11449907;n#7514600;
50741: n#5554653;n#3825788;n#2370265;
50742: n#4696432;n#13895852;n#5554653;
50745: n#845523;n#844254;n#846021;
50780: n#7806221;n#7723559;n#11986306;
50791: n#2208280;n#2206856;n#14631502;
50792: n#13660178;n#13617308;n#5563770;
50817: n#6844040;n#5685538;n#13904665;
50825: n#3646296;n#310666;n#15287830;
50827: n#3925226;n#903559;n#13536794;
50834: n#7818277;n#12434775;n#12433081;
50837: n#3966976;n#4450749;n#3381231;
50838: n#4509417;v#1935846;n#2797295;
50840: n#4482393;n#4524716;n#2834778;
50886: n#3458552;n#3997027;n#3459159;
50901: n#7783967;n#2526121;n#2526818;
50903: n#825773;n#825951;n#826397;
50906: n#5665146;n#5643190;n#6125041;
50932: n#5937524;n#5938400;n#4673965;
50935: n#7734744;n#12997919;n#12992868;
50964: v#426958;v#2156546;v#427397;
50965: a#2517265;a#581401;s#1610261;
50966: a#2515341;a#579084;s#1705513;
51017: n#14149963;n#14355238;n#14150612;
51051: n#5682570;n#3149951;n#5683197;
51053: s#2502994;s#1280908;s#1280349;
51067: n#6975132;n#9689435;n#5417472;
51070: n#2165456;n#2165247;n#1568493;
51076: n#12433081;n#12432808;n#7722217;
51084: n#14558226;n#14014621;n#14322528;
51094: n#14288235;v#74834;n#14288871;
51097: n#5285623;n#7873057;n#5921123;
51101: n#14288235;v#74834;n#14288871;
51114: n#6421685;a#182843;n#6421301;
51148: n#3067912;n#7954946;n#3170292;
51149: n#9505418;n#10133307;s#2360944;
51150: n#10471570;n#10368009;n#10470779;
51156: n#7815424;n#11714382;n#7815294;
51157: n#7780627;n#2626762;n#2527057;
51181: n#1827403;n#1827793;s#1149195;
51196: n#13882961;n#7607707;n#3936568;
51201: n#4574999;n#4039041;n#2834778;
51203: n#4440749;n#8249038;n#4116512;
51204: n#4440749;n#4426788;v#1821884;
51220: n#2510455;n#2509815;n#2136103;
51265: n#1443537;n#1443736;s#369941;
51268: s#2115759;a#1002377;s#644560;
51290: n#1327322;n#5870615;s#1904485;
51303: n#9751256;a#2964107;
51304: n#9751256;a#2964107;
51305: a#2964107;n#9751256;
51310: a#2541302;n#7950418;s#2545689;
51316: n#9334396;n#8544813;n#9335240;
51323: a#2960686;n#6952572;n#2432983;
51325: n#5305806;n#2902250;n#5522456;
51326: n#13664521;n#13390626;n#13750415;
51330: n#90253;n#6281040;n#8254331;
51331: n#90253;n#6281040;n#8254331;
51332: n#90253;n#8254331;n#6281040;
51333: n#90253;n#6630852;n#6281040;
51334: n#90253;n#8254331;n#6281040;
51345: n#424767;n#4830343;n#424599;
51346: n#7857356;n#11899921;n#11872973;
51347: n#11872973;n#11873182;n#7824383;
51349: n#4980008;n#5714466;n#5714161;
51363: r#36291;n#1740;r#33663;
51369: n#15211484;n#8189659;n#4808516;
51380: s#2040233;a#2324397;s#1747364;
51381: n#2419796;n#2423022;n#2420389;
51384: n#2007558;a#3066448;n#533036;
51386: n#2130308;n#2130190;n#4886646;
51401: n#2128385;n#14765422;n#2128669;
51402: n#2129165;n#9752795;n#13685809;
51403: n#6995792;n#6993647;
51405: n#2398521;n#2398386;n#2398252;
51408: n#2397096;n#2396970;n#2396427;
51409: n#2408429;n#2408817;n#2407959;
51410: n#3354903;
51417: n#3354903;n#6875094;n#2158846;
51447: n#2129463;n#2129165;n#5565548;
51449: n#10006842;n#10007109;n#10452024;
51450: n#1770393;n#9753204;
51453: n#2486410;n#2486565;n#10100761;
51455: n#2484322;n#2470325;n#10200047;
51457: n#1697178;n#1696849;n#1696633;
51460: n#1747885;n#1726692;n#1752165;
51461: n#10256537;n#13939353;n#10660333;
51462: n#3699280;n#13687160;n#13686376;
51473: n#2470325;n#2484322;n#2487347;
51477: n#6427086;n#5588746;n#2752810;
51482: n#1452954;n#13133438;n#10377291;
51495: n#9468604;n#9262690;n#9305031;
51501: n#12142085;n#7803545;n#7731952;
51503: n#9503282;n#10055297;n#10155485;
51513: n#5938976;n#3777283;n#4314216;
51514: n#1674464;n#10274474;n#1693020;
51520: v#1004692;n#8111419;n#4504486;
51527: n#14802450;n#4310904;n#4373894;
51537: n#5898568;n#5728678;n#5910940;
51542: n#7932841;n#7933274;n#14657228;
51543: n#7933274;n#7932841;n#12929783;
51550: n#10319796;n#9932508;a#1471954;
51586: n#1816887;n#9964411;
51616: n#4190052;n#9337253;n#4038727;
51632: n#4534127;n#6277280;n#6277803;
51639: n#3509025;n#13491876;n#3508101;
51648: v#1953810;
51659: n#4143140;n#4142731;
51664: n#7185325;n#6513366;n#13461162;
51672: v#2257767;v#2258617;s#1572974;
51677: n#6674542;n#7247071;
51682: n#14438125;n#6207199;n#14437386;
51683: n#7164546;n#7185076;v#2297142;
51684: v#2297142;v#2298632;v#2199590;
51689: n#7710616;n#12897493;n#4289964;
51691: n#15121406;n#6514093;n#6155567;
51692: n#15121406;n#6514093;n#6155567;
51710: n#5797597;n#636921;v#648224;
51712: n#7755411;n#12163824;n#12164363;
51728: n#3508101;n#108181;n#4040759;
51735: n#7737745;n#11748501;n#11748811;
51736: r#87777;s#1439784;r#87542;
51750: s#1950198;s#683531;a#2230990;
51767: n#6782680;n#5803938;v#672433;
51768: v#636061;
51773: n#11675096;n#2827883;n#12416703;
51777: n#7923748;n#5398609;n#15038127;
51789: v#339934;v#344643;v#344174;
51796: n#7319103;n#63652;n#14474894;
51827: n#837293;v#7328;v#2718750;
51838: s#1277426;a#730215;n#5564590;
51839: n#1133281;n#9346120;n#9254614;
51842: n#1899746;n#5256085;n#8547544;
51843: n#7035870;v#1731718;v#861423;
51844: n#13129165;n#14805899;n#13130569;
51845: n#290015;n#320625;n#13129165;
51867: n#1209576;v#2541251;n#568430;
51909: n#568430;n#1226941;v#2541251;
51910: n#568430;n#1226941;v#2541251;
51982: n#12607456;n#7753275;n#2866578;
51983: n#7753275;n#12607456;n#11608250;
51986: n#12143676;n#4966543;n#7731952;
51988: n#4442831;n#12907465;n#3030663;
52001: a#386392;a#392812;n#10355142;
52002: n#10453533;n#9988063;n#10470779;
52010: s#2217241;s#2217452;n#10027246;
52037: n#6595351;n#3704210;n#3704038;
52058: n#7794159;n#1986806;v#1142070;
52066: a#292937;s#35978;s#1623360;
52069: n#329031;n#7317519;n#2901114;
52082: v#2632940;v#183879;v#684838;
52100: s#2037531;a#1131043;s#1131803;
52105: n#4141076;n#10554243;n#3623556;
52110: n#7743544;n#12246232;n#7743224;
52120: v#1705494;v#2621244;v#1626138;
52136: n#13645010;n#4543158;n#6764623;
52146: v#2456493;v#1234625;v#1530098;
52150: n#499924;n#501080;n#3982430;
52152: n#10435367;n#10437262;v#2277897;
52163: s#1677433;s#1386883;a#1382086;
52190: s#1678729;s#488187;s#2278011;
52191: s#1642477;s#1730444;s#414354;
52193: n#3829563;n#4248851;n#3627232;
52195: n#10485440;v#1427695;n#10663315;
52201: n#10513623;n#10001058;n#9537660;
52233: n#1935395;n#1922303;n#6586098;
52239: a#1391351;s#1649031;s#1280908;
52246: a#1391351;s#1442826;a#1554510;
52281: n#13152742;n#6256229;n#3652226;
52289: n#2114855;n#9973749;n#9973903;
52309: n#7932841;n#7933274;n#12929783;
52311: n#10707804;n#10534586;n#9880741;
52313: n#8431437;n#3120029;n#8432345;
52315: v#1946996;n#445351;n#5045680;
52321: n#9673779;n#6970784;a#2977465;
52330: n#6970946;a#3047714;n#9692430;
52337: n#6971281;n#9676374;n#9426788;
52340: n#6971605;n#9676247;n#2481629;
52341: n#6917083;n#9726970;n#6312418;
52346: n#6980315;n#9675393;n#5716577;
52347: n#6980315;n#9675393;n#5716577;
52348: n#6969916;n#6969916;n#8478018;
52358: n#4491769;n#3696065;n#2452967;
52376: n#2715229;n#561226;a#1380267;
52377: n#5660268;n#549766;n#172710;
52381: n#4490091;n#3690473;n#4520170;
52396: n#7569106;v#381496;v#1261950;
52397: n#7569106;v#381496;v#1261950;
52432: n#12761284;n#7764155;n#3485997;
52433: n#12761284;n#7764155;n#4236377;
52439: n#7823951;n#7823814;v#45639;
52451: n#3496296;n#3157348;n#3038870;
52452: n#4558478;n#4446276;n#4446521;
52453: n#4558478;n#8438928;n#4446276;
52457: n#4108268;n#3106110;n#2933842;
52459: n#10231087;n#10152083;n#10338707;
52461: n#4377057;n#8435388;n#5661996;
52464: n#11467018;n#11462526;n#11521145;
52465: n#11521145;n#9502906;n#11467018;
52475: n#7260623;n#5924920;n#7261143;
52476: n#6676416;n#6468403;n#8680888;
52497: n#12992868;a#2832678;n#7734744;
52498: n#5888929;n#7162545;n#6782680;
52525: n#5861067;n#13331198;n#7959016;
52532: n#5549830;n#3015254;n#5552607;
52548: n#4379243;n#4379964;n#8266235;
52566: n#4335435;n#4468847;n#4469813;
52573: n#6693502;n#6693198;v#856824;
52574: v#856824;n#6693502;n#6693198;
52575: n#5833683;n#7534430;n#7535010;
52586: n#1957739;n#1965889;
52587: n#1957739;n#1965889;
52595: n#3142834;n#14883206;n#14879750;
52602: n#14834563;n#13371958;n#2799593;
52624: n#3291819;n#3291963;n#13869788;
52635: n#2935891;n#2935658;n#3199647;
52655: v#839834;v#2568999;v#956405;
52656: n#8617963;n#8677801;n#13940456;
52671: n#7811416;n#12205694;n#3058726;
52679: n#2773838;n#3986949;n#4491769;
52680: n#2728440;n#3051540;n#2756098;
52687: s#1705195;s#457998;s#1698760;
52733: n#13721387;n#13721529;n#13725588;
52736: n#1031563;n#5962414;n#708332;
52747: n#3553;a#517916;s#1171396;
52748: n#3553;a#517916;s#1171396;
52815: n#14797641;n#14635290;n#15055442;
52816: n#13963970;n#1036996;n#7989373;
52825: n#15244650;n#15246853;n#11482985;
52826: n#10609325;v#2344568;v#2321757;
52829: n#2319095;n#2319308;n#2319829;
52835: n#2321529;n#2322047;n#1950731;
52844: n#3918480;n#9348827;n#3082979;
52846: n#9495962;n#1617095;n#812526;
52857: n#6018465;n#6021499;a#2911627;
52862: n#10684630;n#10042845;n#10653388;
52917: v#815686;n#6746005;v#636279;
52963: a#343015;s#343360;s#1841834;
52965: a#1410606;a#1409581;a#2071420;
52967: a#2062670;a#2068476;a#1411065;
52972: n#7821919;n#12356395;n#12356255;
52983: s#1035007;s#968730;s#1575424;
52986: n#14133985;n#10123844;n#9444100;
52987: n#15388;n#9845589;n#10100761;
52988: n#9845589;n#15388;n#10329945;
52999: n#4188179;n#4188643;n#6267893;
53012: a#227507;n#127531;n#9851165;
53013: a#227507;n#127531;n#9851165;
53027: n#2958343;v#1930738;n#2934451;
53029: n#10737964;n#2439033;n#2072493;
53031: n#9494388;n#1688589;n#10029729;
53036: n#9493043;n#11947251;n#4456115;
53056: n#2987492;n#4121511;v#1554622;
53074: n#5984936;n#8287844;n#5751794;
53076: n#917759;n#5984936;n#8287844;
53080: n#1639765;n#3398382;n#1640567;
53085: n#1322604;n#10493835;n#1322343;
53091: v#1500873;v#969370;v#1567275;
53098: n#2226429;n#7915213;n#2226970;
53107: n#13901321;n#4493505;n#5246511;
53118: s#1464700;s#1712753;n#7165086;
53134: n#227595;
53141: n#4401088;n#6272290;v#789448;
53142: v#789448;n#6272290;n#4401088;
53158: n#13815342;n#13850304;n#4141838;
53174: n#480993;n#2802426;n#190431;
53179: n#7376168;v#1048330;n#7377931;
53192: n#1792640;n#7646067;n#7644967;
53217: n#4426788;n#5773548;v#1359432;
53240: n#220522;v#2482425;v#548750;
53261: n#6100778;n#6210363;a#2869563;
53262: n#1922303;n#6586098;n#2312006;
53271: n#14526182;n#4620558;n#9545324;
53275: n#11683989;n#5404336;n#13135832;
53280: n#13125117;n#5308310;n#13731669;
53281: n#13125117;n#5308310;n#13731669;
53300: n#5729875;n#3646916;n#4582454;
53301: n#14239918;n#1977832;n#9752657;
53310: n#3688943;n#3839671;n#8597176;
53343: v#1593937;v#1387786;v#2504562;
53347: v#1249724;v#2119874;v#1250908;
53378: n#3014705;n#5552607;n#2883344;
53380: n#5552607;n#5553288;n#3014705;
53435: n#7480896;n#14039179;n#7488788;
53453: n#10613996;n#4683814;n#9849012;
53481: n#14491889;n#1211667;n#14445379;
53541: n#10100761;n#10667187;n#10197525;
53545: v#4819;n#14314850;s#246623;
53560: n#7238694;n#7110457;n#5650820;
53561: n#7238694;n#7110457;n#5650820;
53570: n#8491027;n#6787150;n#6356515;
53581: v#607405;v#599992;v#607114;
53595: n#3661043;n#3660664;n#3660909;
53607: n#7213395;n#5808102;n#7213232;
53608: v#2143283;v#933821;v#2137710;
53621: n#162632;n#4863969;n#5838176;
53680: n#7484265;n#4945057;n#14038993;
53689: n#12560016;n#12560282;n#7725376;
53694: n#6518719;n#6558678;n#4716703;
53720: n#5534333;n#5298988;n#2983741;
53722: n#6122178;n#6122578;a#3021543;
53725: a#900478;s#1037763;s#948514;
53728: n#768203;n#2810471;n#2810782;
53729: n#2810471;n#8389572;n#7953827;
53730: n#8389572;n#2810471;n#7953827;
53740: n#14045507;n#14045347;n#5148186;
53741: a#1002377;s#1002664;s#2115759;
53748: v#1564144;v#1619929;v#1326528;
53772: n#7642933;n#3046257;v#2064131;
53796: n#7643764;n#7848338;v#2024367;
53797: s#907243;s#1995288;s#907032;
